RETIREMENT CORPUS ACCUMULATION — Year-by-Year Compounding (Age 28–60),,,,,,,,,,,,,
Corpus(t) = Corpus(t-1) × (1 + return) + Annual Contribution(t). All values in ?. Returns sourced from ASSUMPTIONS.,,,,,,,,,,,,,
YEAR/AGE,,EPF  (8.15% p.a. sovereign | EEE),,NPS  (blended ~10.75% | EET),,ELSS / Equity MF (net ~12% | LTCG 10%),,WeCare Employee Contributions (memo),,TOTAL CORPUS,,,
Year,Age,EPF Annual Contrib (?),EPF Corpus YE (?),NPS Annual Contrib (?),NPS Corpus YE (?),ELSS Annual SIP (?),ELSS Corpus YE (?),WeCare Annual Contribution (?),Cumul WeCare Contribution (?),Total Corpus YE (?),,,
1,28,"384,000","415,296","120,000","132,900","120,000","134,400","160,000","174,000","856,596",,,
2,29,"414,720","863,863","129,600","276,787","132,000","282,528","172,800","362,025","1,785,202",,,
3,30,"447,898","1,382,165","139,968","446,509","145,200","461,631","186,624","580,326","2,870,632",,,
4,31,"483,729","1,978,541","151,165","645,675","159,720","676,747","201,554","832,659","4,133,621",,,
5,32,"522,428","2,662,220","163,259","878,343","175,692","933,649","217,678","1,123,195","5,597,406",,,
6,33,"564,222","3,443,413","176,319","1,149,084","193,261","1,238,948","235,092","1,456,567","7,288,011",,,
7,34,"609,360","4,333,410","190,425","1,463,036","212,587","1,600,209","253,900","1,837,916","9,234,571",,,
8,35,"658,109","5,344,692","205,659","1,825,971","233,846","2,026,080","274,212","2,272,946","11,469,689",,,
9,36,"710,757","6,491,042","222,112","2,244,375","257,231","2,526,440","296,149","2,767,977","14,029,834",,,
10,37,"767,618","7,787,679","239,881","2,725,526","282,954","3,112,567","319,841","3,330,016","16,955,787",,,
11,38,"829,027","9,251,402","259,071","3,277,591","311,249","3,797,324","345,428","3,966,820","20,293,137",,,
12,39,"895,349","10,900,741","279,797","3,909,728","342,374","4,595,377","373,062","4,686,979","24,092,825",,,
13,40,"966,977","12,756,129","302,180","4,632,205","376,611","5,523,433","402,907","5,499,997","28,411,764",,,
14,41,"1,044,336","14,840,089","326,355","5,456,521","414,273","6,600,518","435,140","6,416,387","33,313,515",,,
15,42,"1,127,882","17,177,438","352,463","6,395,561","455,700","7,848,280","469,951","7,447,771","38,869,050",,,
16,43,"1,218,113","19,795,512","380,660","7,463,744","501,270","9,291,343","507,547","8,606,999","45,157,598",,,
17,44,"1,315,562","22,724,409","411,113","8,677,209","551,397","10,957,701","548,151","9,908,262","52,267,581",,,
18,45,"1,420,807","25,997,255","444,002","10,054,011","606,536","12,879,162","592,003","11,367,238","60,297,666",,,
19,46,"1,534,471","29,650,503","479,522","11,614,340","667,190","15,091,851","639,363","13,001,234","69,357,928",,,
20,47,"1,657,229","33,724,248","517,884","13,380,766","733,909","17,636,783","690,512","14,829,354","79,571,150",,,
21,48,"1,789,808","38,262,582","559,315","15,378,513","807,300","20,560,497","745,753","16,872,676","91,074,267",,,
22,49,"1,932,992","43,313,974","604,060","17,635,763","888,030","23,915,786","805,413","19,154,448","104,019,971",,,
23,50,"2,087,632","48,931,694","652,385","20,183,992","976,833","27,762,513","869,846","21,700,309","118,578,509",,,
24,51,"2,254,642","55,174,270","704,576","23,058,347","1,074,516","32,168,531","939,434","24,538,520","134,939,668",,,
25,52,"2,435,013","62,105,986","760,942","26,298,061","1,181,968","37,210,723","1,014,589","27,700,230","153,315,000",,,
26,53,"2,629,814","69,797,438","821,817","29,946,920","1,300,165","42,976,175","1,095,756","31,219,756","173,940,288",,,
27,54,"2,840,200","78,326,129","887,562","34,053,776","1,430,181","49,563,497","1,183,417","35,134,901","197,078,303",,,
28,55,"3,067,416","87,777,124","958,567","38,673,124","1,573,199","57,084,316","1,278,090","39,487,294","223,021,859",,,
29,56,"3,312,809","98,243,769","1,035,253","43,865,738","1,730,519","65,664,953","1,380,337","44,322,770","252,097,229",,,
30,57,"3,577,834","109,828,469","1,118,073","49,699,378","1,903,571","75,448,318","1,490,764","49,691,776","284,667,941",,,
31,58,"3,864,060","122,643,550","1,207,519","56,249,580","2,093,928","86,596,045","1,610,025","55,649,832","321,139,006",,,
32,59,"4,173,185","136,812,184","1,304,120","63,600,530","2,303,321","99,290,891","1,738,827","62,258,019","361,961,624",,,
TOTAL CONTRIBUTIONS (32 years),,"51,537,998",,"16,105,624",,"24,136,532",,"21,474,166",,,,,
